Problem_ID,Status,Nodes_Explored,Time_Seconds,Order_Type
0,Solved,691,0.000434,0
1,Solved,13,0.000185,0
2,Solved,1159,0.000527,0
3,Solved,17,0.000193,0
4,Solved,662,0.000355,0
5,Solved,4951,0.001561,0
6,Solved,11631,0.003461,0
7,Solved,2379,0.000832,0
8,Solved,12394,0.003317,0
9,Solved,27,0.00019,0
10,Solved,50,0.000173,0
11,Solved,1282,0.00057,0
12,Solved,11,0.000176,0
13,Solved,12838,0.00358,0
14,Solved,34,0.000172,0
15,Solved,534030,0.140849,0
16,Solved,6,0.000166,0
17,Solved,1932196,0.503909,0
18,Solved,24,0.000177,0
19,Solved,1137,0.000471,0
21,Solved,694,0.000355,0
22,Solved,1,0.000167,0
23,Solved,975,0.00068,0
24,Solved,16,0.000183,0
25,Solved,10,0.000177,0
26,Solved,45,0.00022,0
27,Solved,45,0.000184,0
28,Solved,129462,0.034703,0
29,Solved,94,0.00019,0
30,Solved,15,0.000169,0
31,Solved,565,0.000329,0
32,Solved,2123,0.000842,0
33,Solved,8,0.000172,0
34,Solved,9,0.000212,0
35,Solved,61149,0.016391,0
36,Solved,56161,0.013725,0
37,Solved,3334,0.000978,0
38,Solved,2205,0.000733,0
39,Solved,652,0.000444,0
40,Solved,1088,0.00044,0
41,Solved,7,0.000164,0
42,Solved,208292,0.054432,0
43,Solved,8733,0.00241,0
44,Solved,3306,0.001114,0
45,Solved,92729,0.024382,0
46,Solved,3004,0.000933,0
47,Solved,66632,0.017154,0
48,Solved,12,0.000168,0
49,Solved,39,0.000171,0
50,Solved,886,0.000395,0
51,Solved,14217,0.003688,0
52,Solved,1761,0.000583,0
53,Solved,21,0.000159,0
54,Solved,821,0.000454,0
55,Solved,1331,0.000515,0
56,Solved,28,0.000216,0
57,Solved,813,0.000374,0
58,Solved,25,0.000163,0
59,Solved,35,0.00017,0
60,Solved,464,0.000275,0
61,Solved,1387,0.000559,0
62,Solved,14,0.000164,0
63,Solved,2019148,0.558302,0
64,Solved,26,0.000186,0
65,Solved,90,0.000193,0
66,Solved,630017,0.166508,0
67,Solved,2080,0.000698,0
68,Solved,95,0.000197,0
69,Solved,29,0.000168,0
70,Solved,52372,0.013323,0
71,Solved,12862,0.003347,0
72,Solved,1177,0.000472,0
73,Solved,116466,0.030684,0
74,Solved,18,0.000187,0
75,Solved,1478,0.000556,0
76,Solved,31,0.000206,0
77,Solved,8247,0.002499,0
78,Solved,951,0.000433,0
79,Solved,868037,0.23478,0
80,Solved,1238,0.000483,0
81,Solved,969,0.000416,0
82,Solved,22,0.000191,0
83,Solved,40,0.000171,0
84,Solved,567,0.000302,0
86,Solved,98,0.000239,0
88,Solved,106,0.000203,0
89,Solved,33,0.000457,0
91,Solved,2141,0.000781,0
92,Solved,20,0.000189,0
93,Solved,3304,0.001078,0
94,Solved,30,0.000186,0
95,Solved,1474,0.000525,0
96,Solved,73995,0.019117,0
98,Solved,19,0.000197,0
99,Solved,126717,0.032947,0
100,Solved,1936502,0.500958,0
101,Solved,1268,0.000498,0
102,Solved,2046,0.000682,0
103,Solved,1442,0.000608,0
105,Solved,494,0.000284,0
106,Solved,2428,0.000759,0
107,Solved,35,0.000194,0
108,Solved,23,0.000167,0
109,Solved,103631,0.026886,0
110,Solved,571,0.000322,0
111,Solved,1621,0.000564,0
112,Solved,771,0.000354,0
113,Solved,54546,0.013944,0
114,Solved,1872,0.000614,0
115,Solved,239405,0.061244,0
116,Solved,791,0.000364,0
117,Solved,77366,0.019762,0
118,Solved,1001575,0.267807,0
120,Solved,1236,0.000493,0
121,Solved,1432,0.000556,0
122,Solved,1981191,0.502464,0
123,Solved,40,0.000181,0
124,Solved,8211,0.002622,0
125,Solved,438,0.000266,0
126,Solved,1815,0.000597,0
128,Solved,1169,0.000445,0
129,Solved,6291,0.001737,0
130,Solved,74564,0.019095,0
131,Solved,664,0.000326,0
132,Solved,2426,0.000756,0
133,Solved,2359,0.000792,0
134,Solved,521,0.000314,0
135,Solved,5138,0.001529,0
136,Solved,142406,0.037148,0
137,Solved,1783,0.000595,0
138,Solved,559,0.000291,0
140,Solved,1248,0.000511,0
141,Solved,1918,0.00071,0
143,Solved,746796,0.199461,0
144,Solved,605591,0.155539,0
145,Solved,1464,0.000531,0
146,Solved,12147,0.003357,0
147,Solved,644,0.000325,0
148,Solved,186365,0.047357,0
149,Solved,1119554,0.293009,0
150,Solved,1100789,0.290582,0
151,Solved,1078,0.000443,0
152,Solved,882,0.000381,0
153,Solved,1476,0.000555,0
154,Solved,726723,0.193654,0
155,Solved,722,0.000345,0
156,Solved,1906,0.000606,0
157,Solved,1979,0.000649,0
158,Solved,674461,0.179805,0
159,Solved,1571,0.000567,0
160,Solved,102,0.000195,0
162,Solved,407463,0.095935,0
163,Timeout,-1,20,0
164,Solved,569,0.000352,0
165,Solved,100751,0.025977,0
166,Solved,190,0.000215,0
168,Solved,872,0.00044,0
169,Solved,138,0.000223,0
170,Solved,1171,0.000463,0
171,Solved,2470,0.000815,0
172,Solved,1470,0.000538,0
173,Solved,29122,0.007123,0
175,Solved,10264,0.002751,0
176,Solved,585,0.000315,0
177,Solved,93258,0.025281,0
178,Solved,1535,0.000683,0
179,Solved,117219,0.031443,0
181,Solved,5286,0.001541,0
182,Solved,1484,0.000537,0
183,Solved,1076,0.00043,0
184,Solved,2040,0.000662,0
185,Solved,36584,0.008951,0
187,Solved,6581,0.001814,0
188,Solved,14142,0.003674,0
189,Solved,981,0.000409,0
191,Solved,735,0.000358,0
192,Solved,836,0.000377,0
193,Solved,1373,0.000619,0
194,Solved,66581,0.017106,0
195,Solved,2432,0.00076,0
196,Solved,102100,0.026247,0
197,Solved,5129,0.00154,0
198,Solved,9426,0.002598,0
199,Solved,1034,0.000477,0
200,Solved,878,0.000392,0
201,Solved,937,0.000407,0
202,Solved,101992,0.026285,0
203,Solved,868,0.00039,0
204,Timeout,-1,20,0
205,Solved,6,0.000188,0
206,Solved,675600,0.173563,0
207,Solved,882071,0.236114,0
208,Solved,1569,0.000567,0
209,Solved,187254,0.047276,0
210,Solved,829009,0.220696,0
211,Solved,1486,0.000552,0
212,Solved,1585,0.000567,0
213,Solved,278,0.000226,0
214,Solved,18,0.000162,0
215,Solved,3665,0.001112,0
216,Solved,486,0.000318,0
218,Solved,478,0.000353,0
221,Solved,308226,0.079174,0
222,Solved,971,0.000452,0
223,Solved,615,0.000308,0
