Problem_ID,Status,Nodes_Explored,Time_Seconds,Order_Type
0,Solved,325,0.00112,1
1,Solved,120,0.00092,1
2,Solved,2217,0.001425,1
3,Solved,1,0.00092,1
4,Solved,10055,0.003706,1
5,Solved,12651,0.004645,1
6,Solved,49757,0.015024,1
7,Solved,14456,0.005276,1
8,Solved,20135,0.007114,1
9,Solved,70,0.001179,1
10,Solved,1,0.001002,1
11,Solved,4645,0.002232,1
12,Solved,45,0.001165,1
13,Solved,401,0.000918,1
14,Solved,235,0.001093,1
15,Solved,3503511,1.00716,1
16,Solved,36,0.001013,1
17,Solved,559886,0.133401,1
18,Solved,30,0.00111,1
19,Solved,5308,0.002271,1
21,Solved,206,0.001029,1
22,Solved,90,0.00096,1
23,Solved,4510,0.002151,1
24,Solved,1,0.000907,1
25,Solved,7,0.00095,1
26,Solved,1,0.00092,1
27,Solved,1,0.00086,1
28,Solved,162009,0.0471,1
29,Solved,6,0.000858,1
30,Solved,70,0.001083,1
31,Solved,5529,0.002427,1
32,Solved,50973,0.016069,1
33,Solved,200,0.000813,1
34,Solved,275,0.001168,1
35,Solved,110275,0.033924,1
36,Solved,22639,0.005442,1
37,Solved,11,0.001081,1
38,Solved,53411,0.010233,1
39,Solved,171,0.000872,1
40,Solved,241,0.001049,1
41,Solved,153,0.000818,1
42,Solved,115350,0.035194,1
43,Solved,69716,0.023652,1
44,Solved,26,0.001405,1
45,Solved,247903,0.060665,1
46,Solved,55,0.000896,1
47,Solved,201431,0.059073,1
48,Solved,130,0.001195,1
49,Solved,76,0.001259,1
50,Solved,5794,0.00294,1
51,Solved,413,0.001271,1
52,Solved,2222,0.001784,1
53,Solved,1,0.001049,1
54,Solved,4425,0.002624,1
55,Solved,9680,0.003622,1
56,Solved,1,0.001271,1
57,Solved,1223,0.001982,1
58,Solved,35,0.001075,1
59,Solved,180,0.001019,1
60,Solved,8911,0.003775,1
61,Solved,241,0.001264,1
62,Solved,10,0.001014,1
63,Solved,4037948,1.22636,1
64,Solved,25,0.001193,1
65,Solved,6,0.00094,1
66,Solved,489689,0.146434,1
67,Solved,45977,0.014368,1
68,Solved,89,0.001277,1
69,Solved,35,0.001243,1
70,Solved,812591,0.23217,1
71,Solved,455,0.001038,1
72,Solved,11,0.000837,1
73,Solved,5539,0.002515,1
74,Solved,30,0.0007,1
75,Solved,1188,0.001459,1
76,Solved,255,0.001085,1
77,Solved,62141,0.020247,1
78,Solved,11,0.000899,1
79,Solved,1551166,0.471194,1
80,Solved,1358,0.001288,1
81,Solved,31,0.000738,1
82,Solved,1,0.000879,1
83,Solved,10,0.001302,1
84,Solved,1113,0.001849,1
86,Solved,6,0.00154,1
88,Solved,6,0.00095,1
89,Solved,205,0.000904,1
91,Solved,47405,0.014875,1
92,Solved,1,0.000813,1
93,Solved,31,0.000942,1
94,Solved,255,0.000942,1
95,Solved,91,0.000814,1
96,Solved,11183,0.004327,1
98,Solved,1,0.001136,1
99,Solved,162953,0.047413,1
100,Solved,120783,0.03579,1
101,Solved,11,0.000928,1
102,Solved,43458,0.013438,1
103,Solved,10205,0.003766,1
105,Solved,5749,0.0019,1
106,Solved,42520,0.009578,1
107,Solved,55,0.000785,1
108,Solved,1,0.000935,1
109,Solved,30128,0.009691,1
110,Solved,4425,0.002256,1
111,Solved,5277,0.002501,1
112,Solved,11,0.0009,1
113,Solved,841390,0.240618,1
114,Solved,51,0.001034,1
115,Solved,1645026,0.493835,1
116,Solved,9066,0.003353,1
117,Solved,1424,0.001347,1
118,Solved,105185,0.032253,1
120,Solved,201,0.000921,1
121,Solved,3516,0.001554,1
122,Solved,122856,0.037652,1
123,Solved,50,0.000906,1
124,Solved,61078,0.018746,1
125,Solved,10201,0.003418,1
126,Solved,9945,0.004224,1
128,Solved,1113,0.001222,1
129,Solved,12651,0.00478,1
130,Solved,1404,0.001668,1
131,Solved,11,0.001052,1
132,Solved,52082,0.00981,1
133,Solved,44386,0.013502,1
134,Solved,5609,0.002652,1
135,Solved,18421,0.006727,1
136,Solved,1599,0.001519,1
137,Solved,9056,0.003734,1
138,Solved,11054,0.004263,1
140,Solved,21,0.00086,1
141,Solved,11,0.000851,1
143,Solved,6171594,1.8581,1
144,Solved,1808281,0.518691,1
145,Solved,3321,0.002397,1
146,Solved,13222,0.005107,1
147,Solved,9086,0.003472,1
148,Solved,1588892,0.43784,1
149,Solved,1940225,0.576567,1
150,Solved,101092,0.02297,1
151,Solved,11,0.001173,1
152,Solved,11,0.001123,1
153,Solved,4485,0.00255,1
154,Solved,106996,0.032853,1
155,Solved,66,0.000984,1
156,Solved,2342,0.001428,1
157,Solved,5759,0.002947,1
158,Solved,5888887,1.71947,1
159,Solved,1980,0.002073,1
160,Solved,6,0.001052,1
162,Solved,193326,0.05615,1
163,Timeout,-1,20,1
164,Solved,8891,0.00363,1
165,Solved,25993,0.008329,1
166,Solved,1571,0.001396,1
168,Solved,11049,0.003218,1
169,Solved,8841,0.003633,1
170,Solved,36,0.000923,1
171,Solved,43401,0.0084,1
172,Solved,1125,0.001089,1
173,Solved,1622094,0.461807,1
175,Solved,515,0.001085,1
176,Solved,5569,0.002319,1
177,Solved,1790062,0.543714,1
178,Solved,251,0.000906,1
179,Solved,11346,0.004157,1
181,Solved,23517,0.007876,1
