Problem_ID,Status,Nodes_Explored,Time_Seconds,Order_Type
0,Solved,325,0.00099,1
1,Solved,6,0.00099,1
2,Solved,11,0.000866,1
3,Solved,1,0.000929,1
4,Solved,11,0.000754,1
5,Solved,9041,0.003602,1
6,Solved,19,0.00105,1
7,Solved,19871,0.007017,1
8,Solved,11170,0.004094,1
9,Solved,1,0.000785,1
10,Solved,15,0.000851,1
11,Solved,271,0.000996,1
12,Solved,15,0.000835,1
13,Solved,401,0.000955,1
14,Solved,255,0.000919,1
15,Solved,2555,0.001727,1
16,Solved,10,0.000842,1
17,Solved,4648,0.00159,1
18,Solved,1,0.000722,1
19,Solved,11,0.00082,1
20,Solved,4706,0.002089,1
21,Solved,4675,0.002303,1
22,Solved,1,0.000703,1
23,Solved,11,0.000771,1
24,Solved,35,0.000877,1
25,Solved,14,0.000771,1
26,Solved,1,0.000809,1
27,Solved,1,0.000853,1
28,Solved,499682,0.089512,1
29,Solved,6,0.001104,1
30,Solved,105,0.00077,1
31,Solved,9945,0.003757,1
32,Solved,3580,0.001778,1
33,Solved,1,0.000764,1
34,Solved,55,0.000827,1
35,Solved,97940,0.031044,1
36,Solved,1474,0.001274,1
37,Solved,11,0.000766,1
38,Solved,57942,0.010722,1
39,Solved,41,0.000868,1
40,Solved,261,0.000952,1
41,Solved,55,0.000815,1
42,Solved,102310,0.031773,1
43,Solved,87471,0.026134,1
44,Solved,16,0.000837,1
45,Solved,168380,0.038849,1
46,Solved,19,0.000841,1
47,Solved,52148,0.015564,1
48,Solved,1,0.00083,1
49,Solved,58,0.000869,1
50,Solved,271,0.000841,1
51,Solved,407,0.001042,1
52,Solved,1113,0.001258,1
53,Solved,1,0.000877,1
54,Solved,4425,0.002002,1
55,Solved,11,0.000891,1
56,Solved,1,0.000899,1
57,Solved,310,0.000972,1
58,Solved,1,0.000896,1
59,Solved,1,0.000779,1
60,Solved,16,0.00088,1
61,Solved,256,0.000981,1
62,Solved,10,0.000951,1
63,Solved,8021607,2.548,1
64,Solved,1,0.000715,1
65,Solved,6,0.001045,1
66,Solved,489689,0.142697,1
67,Solved,52087,0.015719,1
68,Solved,11,0.000852,1
69,Solved,1,0.00076,1
70,Solved,2518,0.001439,1
71,Solved,407,0.001178,1
72,Solved,11,0.000847,1
73,Solved,1128,0.001848,1
74,Solved,1,0.000653,1
75,Solved,11,0.00071,1
76,Solved,270,0.001064,1
77,Solved,88921,0.030408,1
78,Solved,2222,0.001272,1
79,Solved,1558266,0.459301,1
80,Solved,11,0.000777,1
81,Solved,1113,0.001093,1
82,Solved,1,0.00084,1
83,Solved,1,0.000839,1
84,Solved,12753,0.004401,1
85,Timeout,-1,20,1
86,Solved,6,0.000701,1
87,Solved,17,0.000785,1
88,Solved,6,0.000664,1
89,Solved,260,0.000801,1
90,Timeout,-1,20,1
91,Solved,50813,0.015362,1
92,Solved,1,0.000724,1
93,Solved,31,0.000852,1
94,Solved,275,0.000922,1
95,Solved,11,0.000787,1
96,Solved,178051,0.033207,1
97,Solved,21350877,6.19115,1
98,Solved,30,0.000754,1
99,Solved,2493,0.001616,1
100,Solved,117304,0.034086,1
101,Solved,11,0.000801,1
102,Solved,51867,0.015613,1
103,Solved,31,0.000719,1
104,Solved,16260,0.00433,1
105,Solved,1368,0.001122,1
106,Solved,51867,0.011284,1
107,Solved,25,0.000643,1
108,Solved,1,0.000766,1
109,Solved,482754,0.136915,1
110,Solved,3321,0.00164,1
111,Solved,11,0.000672,1
112,Solved,11,0.000707,1
113,Solved,524901,0.145793,1
114,Solved,11,0.000875,1
115,Solved,97950,0.021683,1
116,Solved,261,0.000713,1
117,Solved,1399,0.001187,1
118,Solved,105185,0.031935,1
119,Solved,5387,0.002468,1
120,Solved,11,0.000781,1
121,Solved,86,0.00087,1
122,Solved,104806,0.032122,1
123,Solved,1,0.000623,1
124,Solved,87116,0.026111,1
125,Solved,16,0.000791,1
126,Solved,4425,0.002043,1
127,Solved,6,0.000709,1
128,Solved,11,0.000795,1
129,Solved,9041,0.003454,1
130,Solved,1399,0.00115,1
131,Solved,41,0.000708,1
132,Solved,3255,0.001544,1
133,Solved,48525,0.009939,1
134,Solved,36,0.00073,1
135,Solved,9396,0.003826,1
136,Solved,3098,0.001629,1
137,Solved,256,0.000887,1
138,Solved,9945,0.003735,1
139,Timeout,-1,20,1
140,Solved,11,0.000918,1
141,Solved,11,0.000702,1
142,Solved,54889,0.017048,1
143,Solved,8484033,2.47559,1
144,Solved,1808059,0.524769,1
145,Solved,11,0.00068,1
146,Solved,1032,0.00101,1
147,Solved,36,0.000744,1
148,Solved,482809,0.137291,1
149,Solved,1550306,0.462706,1
150,Solved,4030612,1.16145,1
151,Solved,11,0.000966,1
152,Solved,11,0.000674,1
153,Solved,11,0.000858,1
154,Solved,1549241,0.460881,1
155,Solved,11,0.000855,1
156,Solved,1173,0.001631,1
157,Solved,261,0.000752,1
158,Solved,101298,0.03245,1
159,Solved,11,0.000924,1
160,Solved,6,0.001026,1
161,Timeout,-1,20,1
162,Solved,2633,0.00209,1
163,Timeout,-1,20,1
164,Solved,1113,0.001205,1
165,Solved,14763,0.005313,1
166,Solved,3026,0.001508,1
167,Timeout,-1,20,1
168,Solved,41,0.000771,1
169,Solved,1109,0.000986,1
170,Solved,11,0.000775,1
171,Solved,47686,0.01399,1
172,Solved,11,0.0007,1
173,Solved,3674,0.001863,1
174,Solved,215951,0.06229,1
175,Solved,425,0.001014,1
176,Solved,66,0.000738,1
177,Solved,97940,0.01185,1
178,Solved,300,0.000832,1
179,Solved,5826,0.002494,1
180,Solved,34006,0.010734,1
181,Solved,19877,0.005065,1
182,Solved,261,0.000883,1
183,Solved,11,0.000836,1
184,Solved,47421,0.014115,1
185,Solved,650657,0.172874,1
186,Solved,315,0.000885,1
187,Solved,19,0.000712,1
188,Solved,407,0.000886,1
189,Solved,11,0.000751,1
190,Solved,93311,0.022839,1
191,Solved,11,0.000753,1
192,Solved,11,0.000737,1
193,Solved,11,0.000759,1
194,Solved,47967,0.014303,1
195,Solved,47426,0.009589,1
196,Solved,481650,0.138034,1
197,Solved,9396,0.003726,1
198,Solved,2211,0.001107,1
199,Solved,11,0.000661,1
200,Solved,11,0.000738,1
201,Solved,46,0.000731,1
202,Solved,290,0.000864,1
203,Solved,11,0.000714,1
204,Timeout,-1,20,1
205,Solved,10,0.000688,1
206,Solved,12150,0.00309,1
207,Solved,627520,0.140569,1
208,Solved,11,0.000842,1
209,Solved,125850,0.038214,1
210,Solved,188686,0.05586,1
211,Solved,11,0.000609,1
212,Solved,256,0.000806,1
213,Solved,5873,0.002143,1
214,Solved,144,0.000752,1
215,Solved,13,0.000788,1
216,Solved,1123,0.001074,1
217,Timeout,-1,20,1
218,Solved,16,0.00083,1
219,Solved,11,0.000799,1
220,Solved,1597931,0.446721,1
221,Solved,3948630,1.15566,1
222,Solved,11,0.000717,1
223,Solved,1188,0.001127,1
