Problem_ID,Status,Nodes_Explored,Time_Seconds,Order_Type
0,Solved,525,0.002711,0
1,Solved,464,0.001702,0
2,Solved,226672,0.089842,0
3,Solved,496,0.002207,0
4,Solved,34956,0.013665,0
5,Solved,5514,0.003505,0
6,Solved,8146,0.003509,0
7,Solved,312950,0.133869,0
8,Solved,97289,0.046269,0
9,Solved,48,0.001698,0
10,Solved,17,0.001648,0
11,Solved,529,0.002023,0
12,Solved,448,0.002884,0
13,Solved,135479,0.069841,0
14,Solved,552,0.001985,0
15,Solved,20468944,6.16325,0
16,Solved,408,0.002479,0
17,Solved,1102989,0.299408,0
18,Solved,72,0.001843,0
19,Solved,226832,0.097914,0
20,Solved,31258869,9.65398,0
21,Solved,35314,0.021121,0
22,Solved,24,0.001149,0
23,Solved,15391,0.008458,0
24,Solved,80,0.001176,0
25,Solved,440,0.001282,0
26,Solved,33,0.001224,0
27,Solved,33,0.001189,0
28,Solved,11781760,3.61945,0
29,Solved,171,0.001239,0
30,Solved,480,0.001322,0
31,Solved,207037,0.084887,0
32,Solved,230743,0.077961,0
33,Solved,424,0.012913,0
34,Solved,432,0.02588,0
35,Solved,25989620,8.78643,0
36,Solved,337816,0.083465,0
37,Solved,2354,0.006775,0
38,Solved,5766,0.005363,0
39,Solved,465,0.025239,0
40,Solved,66722,0.028771,0
41,Solved,416,0.001055,0
42,Solved,114551170,47.917,0
43,Solved,362289,0.125417,0
44,Solved,2426,0.006782,0
45,Solved,74202215,25.9739,0
46,Solved,323523,0.11323,0
47,Solved,13301043,4.18498,0
48,Solved,456,0.003424,0
49,Solved,41,0.005171,0
50,Solved,219082,0.076842,0
51,Solved,221773,0.077076,0
52,Solved,19070,0.007651,0
53,Solved,520,0.004609,0
54,Solved,214835,0.073389,0
55,Solved,4342,0.003316,0
56,Solved,56,0.002174,0
57,Solved,66674,0.025091,0
58,Solved,32,0.001854,0
59,Solved,1,0.001647,0
60,Solved,203350,0.069917,0
61,Solved,4486,0.003375,0
62,Solved,472,0.001632,0
63,Solved,105847527,36.9715,0
64,Solved,40,0.00149,0
65,Solved,90,0.001594,0
66,Solved,20275916,7.46763,0
67,Solved,246595,0.082437,0
68,Solved,179,0.001743,0
69,Solved,64,0.001881,0
70,Solved,7079005,2.23606,0
71,Solved,135209,0.048068,0
72,Solved,23501,0.008452,0
73,Solved,11618028,4.16441,0
74,Solved,504,0.001768,0
75,Solved,584,0.001479,0
76,Solved,528,0.001431,0
77,Solved,356214,0.129145,0
78,Solved,90212,0.031291,0
79,Solved,2653167,0.837813,0
80,Solved,433,0.001697,0
81,Solved,89756,0.030835,0
82,Solved,1,0.001491,0
83,Solved,25,0.001852,0
84,Solved,207173,0.07347,0
85,Solved,9436269,2.25733,0
86,Solved,252,0.001645,0
87,Solved,35,0.002431,0
88,Solved,414,0.002182,0
89,Solved,544,0.00151,0
90,Timeout,-1,60,0
91,Solved,230815,0.082374,0
92,Solved,152,0.001874,0
93,Solved,2424,0.00199,0
94,Solved,560,0.002607,0
95,Solved,23053,0.008609,0
96,Solved,146368,0.03776,0
97,Timeout,-1,60,0
98,Solved,208,0.002478,0
99,Solved,77178317,24.6146,0
100,Solved,1107711,0.271383,0
101,Solved,73,0.001597,0
102,Solved,246539,0.091785,0
103,Solved,19494,0.007226,0
104,Solved,5786535,2.05352,0
105,Solved,203390,0.069418,0
106,Solved,242556,0.083063,0
107,Solved,1,0.001942,0
108,Solved,16,0.001882,0
109,Solved,31083003,11.7293,0
110,Solved,206781,0.067787,0
111,Solved,11536,0.006494,0
112,Solved,4430,0.003977,0
113,Solved,69710845,23.654,0
114,Solved,23045,0.010346,0
115,Solved,10393322,3.42606,0
116,Solved,215171,0.076374,0
117,Solved,1526627,0.541295,0
118,Solved,7250193,2.69794,0
119,Solved,457,0.003366,0
120,Solved,425,0.002833,0
121,Solved,31251,0.013503,0
122,Solved,23158880,9.08629,0
123,Solved,25,0.001353,0
124,Solved,355890,0.147003,0
125,Solved,202870,0.064776,0
126,Solved,19326,0.006779,0
127,Solved,261,0.004081,0
128,Solved,226480,0.088212,0
129,Solved,26742,0.011249,0
130,Solved,72675022,30.0872,0
131,Solved,209,0.001161,0
132,Solved,242548,0.078324,0
133,Solved,238221,0.08045,0
134,Solved,62723,0.019782,0
135,Solved,6424,0.00318,0
136,Solved,31812,0.012276,0
137,Solved,19606,0.006979,0
138,Solved,206909,0.077848,0
139,Timeout,-1,60,0
140,Solved,473,0.001508,0
141,Solved,23317,0.009818,0
142,Timeout,-1,60,0
143,Solved,147588498,55.8507,0
144,Solved,1734588,0.356095,0
145,Solved,30851,0.019064,0
146,Solved,92395,0.02741,0
147,Solved,35194,0.01716,0
148,Solved,4090802,1.64131,0
149,Solved,12365058,4.14807,0
150,Solved,10273783,3.20623,0
151,Solved,23381,0.008045,0
152,Solved,27412,0.01211,0
153,Solved,26980,0.009469,0
154,Solved,3316035,1.08959,0
155,Solved,34970,0.014636,0
156,Solved,1027,0.00302,0
157,Solved,27452,0.014755,0
158,Solved,55251,0.017529,0
159,Solved,11248,0.005941,0
160,Solved,333,0.002253,0
161,Timeout,-1,60,0
162,Solved,325588,0.067483,0
163,Solved,2334,0.002331,0
164,Solved,207293,0.075487,0
165,Solved,31258885,10.2026,0
166,Solved,182890,0.060789,0
167,Timeout,-1,60,0
168,Solved,11704,0.005365,0
169,Solved,179544,0.063012,0
170,Solved,11720,0.00557,0
