Problem_ID,Status,Nodes_Explored,Time_Seconds,Order_Type
0,Solved,672,0.002163,1
1,Solved,248,0.002467,1
2,Solved,7869,0.004168,1
3,Solved,1,0.001963,1
4,Solved,67078,0.01996,1
5,Solved,54105,0.016276,1
6,Solved,238930,0.070073,1
7,Solved,59513,0.021176,1
8,Solved,102849,0.031305,1
9,Solved,160,0.001976,1
10,Solved,1,0.001812,1
11,Solved,31759,0.011057,1
12,Solved,80,0.002434,1
13,Solved,764,0.00256,1
14,Solved,1,0.003048,1
15,Solved,31426569,10.7589,1
16,Solved,384,0.003407,1
17,Solved,3344486,0.868843,1
18,Solved,72,0.002834,1
19,Solved,27348,0.008424,1
20,Solved,27144792,8.352,1
21,Solved,17,0.003368,1
22,Solved,168,0.005082,1
23,Solved,31663,0.013574,1
24,Solved,1,0.002678,1
25,Solved,32,0.004109,1
26,Solved,1,0.002258,1
27,Solved,1,0.001877,1
28,Solved,4518857,1.46838,1
29,Solved,9,0.002151,1
30,Solved,168,0.002378,1
31,Solved,31431,0.011796,1
32,Solved,12340,0.00592,1
33,Solved,448,0.002111,1
34,Solved,560,0.003851,1
35,Solved,430888,0.153807,1
36,Solved,113072,0.025363,1
37,Solved,17,0.004038,1
38,Solved,232412,0.05473,1
39,Solved,401,0.005018,1
40,Solved,17,0.005452,1
41,Solved,448,0.002861,1
42,Solved,446400,0.155494,1
43,Solved,701,0.006248,1
44,Solved,41,0.002104,1
45,Solved,27326080,8.92978,1
46,Solved,109,0.003036,1
47,Solved,1589631,0.541831,1
48,Solved,256,0.003912,1
49,Solved,8045,0.00551,1
50,Solved,73,0.002983,1
51,Solved,782,0.003286,1
52,Solved,7877,0.005232,1
53,Solved,1,0.004618,1
54,Solved,27504,0.010211,1
55,Solved,60943,0.013571,1
56,Solved,1,0.002149,1
57,Solved,4190,0.003115,1
58,Solved,80,0.002089,1
59,Solved,384,0.001992,1
60,Solved,63015,0.021299,1
61,Solved,3958,0.003274,1
62,Solved,1,0.002204,1
63,Solved,34238648,11.8323,1
64,Solved,40,0.002156,1
65,Solved,9,0.002066,1
66,Solved,3019415,1.05392,1
67,Solved,102181,0.035395,1
68,Solved,206,0.002267,1
69,Solved,80,0.002147,1
70,Solved,12088247,3.68855,1
71,Solved,872,0.002292,1
72,Solved,17,0.001999,1
73,Solved,31447,0.012246,1
74,Solved,72,0.001988,1
75,Solved,4134,0.002668,1
76,Solved,232,0.00189,1
77,Solved,48697,0.01875,1
78,Solved,17,0.001706,1
79,Solved,18283510,6.25146,1
80,Solved,4494,0.002979,1
81,Solved,73,0.00183,1
