Problem_ID,Status,Nodes_Explored,Time_Seconds,Order_Type
0,Solved,656,0.002239,1
1,Solved,9,0.002444,1
2,Solved,17,0.001991,1
3,Solved,1,0.002076,1
4,Solved,17,0.002202,1
5,Solved,43289,0.013417,1
6,Solved,28,0.002249,1
7,Solved,86553,0.026525,1
8,Solved,54177,0.020989,1
9,Solved,1,0.0022,1
10,Solved,40,0.002349,1
11,Solved,17,0.002977,1
12,Solved,17,0.002241,1
13,Solved,764,0.002704,1
14,Solved,1,0.002397,1
15,Solved,6803,0.004836,1
16,Solved,24,0.003623,1
17,Solved,12859,0.005472,1
18,Solved,1,0.00366,1
19,Solved,17,0.005301,1
20,Solved,12365,0.005763,1
21,Solved,81,0.003317,1
22,Solved,1,0.002556,1
23,Solved,17,0.003077,1
24,Solved,80,0.002818,1
25,Solved,17,0.002335,1
26,Solved,1,0.002762,1
27,Solved,1,0.00291,1
28,Solved,5138105,1.07977,1
29,Solved,9,0.003065,1
30,Solved,232,0.003387,1
31,Solved,66774,0.021496,1
32,Solved,685,0.004574,1
33,Solved,1,0.004733,1
34,Solved,152,0.003316,1
35,Solved,377432,0.123028,1
36,Solved,4711,0.00555,1
37,Solved,17,0.002937,1
38,Solved,15882,0.00501,1
39,Solved,65,0.003212,1
40,Solved,17,0.002818,1
41,Solved,152,0.002985,1
42,Solved,391480,0.122803,1
43,Solved,701,0.004309,1
44,Solved,25,0.004322,1
45,Solved,133049,0.030136,1
46,Solved,28,0.003132,1
47,Solved,4591,0.00626,1
48,Solved,1,0.004142,1
49,Solved,70,0.004098,1
50,Solved,17,0.004311,1
51,Solved,773,0.004814,1
52,Solved,3942,0.005377,1
53,Solved,1,0.00456,1
54,Solved,27504,0.012904,1
55,Solved,17,0.004289,1
56,Solved,1,0.00581,1
57,Solved,640,0.004043,1
58,Solved,1,0.00519,1
59,Solved,1,0.005221,1
60,Solved,25,0.005316,1
61,Solved,17,0.005331,1
62,Solved,16,0.004031,1
63,Solved,68268999,26.7987,1
64,Solved,1,0.003434,1
65,Solved,9,0.003781,1
66,Solved,3019415,1.03946,1
67,Solved,90336,0.030796,1
68,Solved,17,0.003612,1
69,Solved,1,0.002729,1
70,Solved,8470,0.005199,1
71,Solved,773,0.002207,1
72,Solved,17,0.002443,1
73,Solved,3966,0.003181,1
74,Solved,1,0.002551,1
75,Solved,17,0.001995,1
76,Solved,1,0.002371,1
77,Solved,37,0.002234,1
78,Solved,7877,0.003948,1
79,Solved,18321132,6.41976,1
80,Solved,17,0.002001,1
81,Solved,3942,0.003545,1
82,Solved,1,0.002046,1
83,Solved,1,0.001853,1
84,Solved,69525,0.024015,1
85,Solved,5724911,1.24084,1
86,Solved,9,0.001959,1
87,Solved,26,0.001935,1
88,Solved,9,0.002207,1
89,Solved,1,0.001921,1
90,Timeout,-1,60,1
91,Solved,225,0.002055,1
92,Solved,1,0.002153,1
93,Solved,49,0.002094,1
94,Solved,1,0.002116,1
95,Solved,17,0.002085,1
96,Solved,1637767,0.352702,1
97,Timeout,-1,60,1
98,Solved,72,0.002884,1
99,Solved,4503,0.003547,1
100,Solved,453052,0.156859,1
101,Solved,17,0.002081,1
102,Solved,89,0.00228,1
103,Solved,49,0.002121,1
104,Solved,4059974,1.33802,1
105,Solved,17,0.002081,1
106,Solved,29127,0.00809,1
107,Solved,40,0.001961,1
108,Solved,1,0.002157,1
109,Solved,9033501,3.31502,1
110,Solved,11796,0.006159,1
111,Solved,17,0.00215,1
112,Solved,17,0.002184,1
113,Solved,4543,0.003673,1
114,Solved,17,0.002226,1
115,Solved,377448,0.093375,1
116,Solved,17,0.00225,1
117,Solved,4519,0.003431,1
118,Solved,415352,0.141356,1
119,Solved,35074,0.013113,1
120,Solved,17,0.001942,1
121,Solved,7473,0.004708,1
122,Solved,398398,0.129039,1
123,Solved,1,0.001933,1
124,Solved,91961,0.033912,1
125,Solved,25,0.001974,1
126,Solved,27504,0.010805,1
127,Solved,9,0.001759,1
128,Solved,17,0.001862,1
129,Solved,43289,0.017125,1
130,Solved,4527,0.003098,1
131,Solved,89,0.001711,1
132,Solved,25,0.00165,1
133,Solved,7877,0.004309,1
134,Solved,89,0.001662,1
135,Solved,43956,0.017336,1
136,Solved,19043,0.008598,1
137,Solved,3942,0.003392,1
138,Solved,62847,0.023451,1
139,Timeout,-1,60,1
140,Solved,17,0.001972,1
141,Solved,17,0.00244,1
142,Solved,257296,0.08743,1
143,Solved,88645707,30.6001,1
144,Solved,20156785,7.25028,1
145,Solved,17,0.00187,1
146,Solved,1206,0.002515,1
147,Solved,89,0.002667,1
148,Solved,9033637,3.1673,1
149,Solved,18281870,5.90277,1
150,Solved,48459184,15.0819,1
151,Solved,17,0.001621,1
152,Solved,17,0.001511,1
153,Solved,17,0.001586,1
154,Solved,18277868,5.83859,1
155,Solved,17,0.002114,1
156,Solved,4110,0.002979,1
157,Solved,17,0.001804,1
158,Solved,387807,0.130016,1
159,Solved,17,0.002071,1
160,Solved,9,0.001497,1
161,Timeout,-1,60,1
162,Solved,8798,0.003756,1
163,Solved,17,0.002039,1
164,Solved,3942,0.002639,1
165,Solved,65055,0.024206,1
166,Solved,22430,0.009414,1
167,Timeout,-1,60,1
168,Solved,89,0.002093,1
169,Solved,5258,0.003974,1
170,Solved,17,0.001293,1
171,Solved,3958,0.003624,1
172,Solved,17,0.001665,1
173,Solved,13967,0.007912,1
174,Solved,1765086,0.62539,1
175,Solved,800,0.004378,1
176,Solved,169,0.006597,1
177,Solved,377432,0.037419,1
178,Solved,591,0.001757,1
179,Solved,32049,0.011641,1
180,Solved,136249,0.046197,1
181,Solved,91970,0.023756,1
182,Solved,3942,0.003036,1
183,Solved,17,0.001934,1
184,Solved,17,0.002299,1
185,Solved,11108177,3.50304,1
186,Solved,624,0.002573,1
187,Solved,28,0.002039,1
188,Solved,773,0.002144,1
189,Solved,17,0.00186,1
190,Solved,7251115,2.68908,1
191,Solved,17,0.002008,1
192,Solved,17,0.002013,1
193,Solved,17,0.002299,1
194,Solved,1511019,0.554353,1
195,Solved,33014,0.008578,1
196,Solved,9029574,2.73782,1
197,Solved,43956,0.015381,1
198,Solved,6249,0.003068,1
199,Solved,17,0.001681,1
200,Solved,17,0.001627,1
201,Solved,97,0.001973,1
202,Solved,584,0.00255,1
203,Solved,17,0.001807,1
204,Solved,11625853,1.42423,1
205,Solved,16,0.001521,1
206,Solved,52056,0.013601,1
207,Solved,6518725,1.40841,1
208,Solved,17,0.002206,1
209,Solved,494400,0.22304,1
210,Solved,420777,0.116215,1
211,Solved,17,0.002145,1
212,Solved,3942,0.003371,1
213,Solved,21806,0.007261,1
214,Solved,297,0.001984,1
215,Solved,19,0.00196,1
216,Solved,3958,0.002913,1
217,Timeout,-1,60,1
218,Solved,25,0.002504,1
219,Solved,17,0.002125,1
220,Timeout,-1,60,1
221,Solved,42937890,15.0554,1
222,Solved,17,0.00227,1
223,Solved,4110,0.002925,1
224,Solved,664,0.002237,1
225,Solved,169,0.002108,1
226,Solved,10691,0.006552,1
227,Solved,25,0.002162,1
228,Solved,17,0.002053,1
229,Solved,8454,0.004707,1
230,Solved,1678181,0.580935,1
231,Solved,3958,0.002936,1
232,Solved,17,0.003606,1
233,Solved,17,0.002455,1
234,Solved,36104226,12.8045,1
235,Solved,25,0.002,1
236,Solved,17,0.002074,1
237,Solved,105,0.002032,1
238,Timeout,-1,60,1
239,Solved,17,0.002206,1
240,Solved,1,0.002073,1
241,Solved,17,0.001882,1
242,Solved,17,0.002177,1
243,Solved,420777,0.178469,1
244,Solved,17,0.002354,1
245,Solved,17,0.001779,1
246,Solved,1518873,0.486357,1
247,Solved,10897,0.005972,1
248,Solved,25,0.002337,1
249,Solved,18281870,6.65016,1
250,Solved,3942,0.003098,1
251,Solved,110931127,23.9644,1
252,Solved,1503181,0.423791,1
253,Solved,3942,0.003609,1
254,Solved,17,0.001809,1
255,Solved,4502845,1.24727,1
256,Solved,1514946,0.532378,1
257,Solved,1723153,0.588716,1
258,Solved,8798,0.004127,1
259,Solved,43280,0.013432,1
260,Solved,17,0.00236,1
261,Solved,3942,0.00234,1
262,Solved,648,0.00164,1
263,Solved,185,0.002168,1
264,Solved,153,0.001886,1
265,Solved,3935,0.002462,1
266,Solved,25,0.001917,1
267,Solved,17,0.002664,1
268,Solved,12365,0.005091,1
269,Solved,17,0.002875,1
270,Solved,31,0.00264,1
271,Solved,9064989,2.83251,1
272,Solved,1645941,0.493378,1
273,Solved,2015,0.002836,1
274,Solved,1525551,0.489264,1
275,Solved,62905,0.018877,1
276,Solved,3942,0.003746,1
277,Solved,89,0.00185,1
278,Timeout,-1,60,1
279,Solved,4703,0.003013,1
280,Solved,98117,0.036551,1
281,Solved,65,0.001947,1
282,Solved,773,0.001977,1
283,Solved,10683,0.005242,1
284,Solved,17,0.002057,1
285,Solved,5590291,1.79765,1
286,Solved,49,0.002013,1
287,Solved,17,0.002204,1
288,Solved,20929197,6.81458,1
289,Solved,3755,0.003149,1
290,Solved,4519,0.002909,1
291,Solved,35358,0.012961,1
292,Solved,17,0.002499,1
